,name,link
0,99% Invisible,https://itunes.apple.com/us/podcast/99-invisible/id394775318?mt=2
1,Design Matters with Debbie Millman,https://itunes.apple.com/us/podcast/design-matters-with-debbie-millman/id328074695?mt=2
2,Young House Love Has A Podcast,https://itunes.apple.com/us/podcast/young-house-love-has-a-podcast/id1122376417?mt=2
3,Twenty Thousand Hertz,https://itunes.apple.com/us/podcast/twenty-thousand-hertz/id1171270672?mt=2
4,Etsy,https://itunes.apple.com/us/podcast/etsy/id274681115?mt=2
5,Design and Architecture,https://itunes.apple.com/us/podcast/design-and-architecture/id73330703?mt=2
6,Martini Shot,https://itunes.apple.com/us/podcast/martini-shot/id73331689?mt=2
7,Creative Pep Talk,https://itunes.apple.com/us/podcast/creative-pep-talk/id929743897?mt=2
8,Ready Set Knit,https://itunes.apple.com/us/podcast/ready-set-knit/id206527655?mt=2
9,Science and Creativity from Studio 360,https://itunes.apple.com/us/podcast/science-and-creativity-from-studio-360/id290951725?mt=2
10,Adventures In Design,https://itunes.apple.com/us/podcast/adventures-in-design/id503341322?mt=2
11,ELISE GETS CRAFTY,https://itunes.apple.com/us/podcast/elise-gets-crafty/id818930816?mt=2
12,Podcasts – The Deep End Design,https://itunes.apple.com/us/podcast/podcasts-the-deep-end-design/id494747654?mt=2
13,Stuff for a Stylish Home,https://itunes.apple.com/us/podcast/stuff-for-a-stylish-home/id456268063?mt=2
14,"Heroine: Women’s Creative Leadership, Confidence, Wisdom",https://itunes.apple.com/us/podcast/heroine-womens-creative-leadership-confidence-wisdom/id1100949693?mt=2
15,Films — Design,https://itunes.apple.com/us/podcast/films-design/id279969805?mt=2
16,The Chris Loves Julia Podcast w/ Preston Pugmire,https://itunes.apple.com/us/podcast/the-chris-loves-julia-podcast-w-preston-pugmire/id1111786513?mt=2
17,Never Not Knitting,https://itunes.apple.com/us/podcast/never-not-knitting/id286098451?mt=2
